OCC_YEAR,OCC_MONTH,DIVISION,PREMISES_TYPE,NEIGHBOURHOOD_158,Count
2014.0,April,D11,House,Dufferin Grove (83),1
2014.0,April,D11,House,Lambton Baby Point (114),1
2014.0,April,D11,House,Runnymede-Bloor West Village (89),1
2014.0,April,D11,Outside,High Park-Swansea (87),1
2014.0,April,D11,Outside,Junction-Wallace Emerson (171),1
2014.0,April,D11,Outside,Rockcliffe-Smythe (111),1
2014.0,April,D11,Outside,Roncesvalles (86),2
2014.0,April,D12,Commercial,Junction Area (90),1
2014.0,April,D12,House,Brookhaven-Amesbury (30),1
2014.0,April,D12,House,Weston (113),2
2014.0,April,D12,Outside,Beechborough-Greenbrook (112),1
2014.0,April,D12,Outside,Brookhaven-Amesbury (30),1
2014.0,April,D12,Outside,Junction Area (90),2
2014.0,April,D12,Outside,Keelesdale-Eglinton West (110),1
2014.0,April,D12,Outside,Mount Dennis (115),2
2014.0,April,D12,Outside,Pelmo Park-Humberlea (23),1
2014.0,April,D12,Outside,Rockcliffe-Smythe (111),3
2014.0,April,D12,Outside,Weston (113),2
2014.0,April,D13,House,Corso Italia-Davenport (92),1
2014.0,April,D13,House,Forest Hill North (102),1
2014.0,April,D13,House,Oakwood Village (107),1
2014.0,April,D13,Other,Corso Italia-Davenport (92),1
2014.0,April,D13,Outside,Briar Hill-Belgravia (108),2
2014.0,April,D13,Outside,Caledonia-Fairbank (109),1
2014.0,April,D13,Outside,Junction-Wallace Emerson (171),1
2014.0,April,D13,Outside,Oakwood Village (107),4
2014.0,April,D14,House,Annex (95),1
2014.0,April,D14,Outside,Fort York-Liberty Village (163),1
2014.0,April,D14,Outside,Kensington-Chinatown (78),1
2014.0,April,D14,Outside,Little Portugal (84),1
2014.0,April,D14,Outside,South Parkdale (85),1
2014.0,April,D22,Commercial,Etobicoke City Centre (159),1
2014.0,April,D22,Commercial,Mimico-Queensway (160),2
2014.0,April,D22,Commercial,New Toronto (18),1
2014.0,April,D22,House,Edenbridge-Humber Valley (9),4
2014.0,April,D22,House,Etobicoke West Mall (13),1
2014.0,April,D22,House,Islington (158),1
2014.0,April,D22,House,Kingsway South (15),2
2014.0,April,D22,House,Princess-Rosethorn (10),1
2014.0,April,D22,Other,Princess-Rosethorn (10),1
2014.0,April,D22,Outside,Etobicoke City Centre (159),7
2014.0,April,D22,Outside,Islington (158),1
2014.0,April,D22,Outside,Mimico-Queensway (160),2
2014.0,April,D22,Transit,Mimico-Queensway (160),1
2014.0,April,D23,Apartment,Kingsview Village-The Westway (6),2
2014.0,April,D23,Commercial,West Humber-Clairville (1),6
2014.0,April,D23,House,Kingsview Village-The Westway (6),1
2014.0,April,D23,House,Rexdale-Kipling (4),1
2014.0,April,D23,House,Thistletown-Beaumond Heights (3),2
2014.0,April,D23,House,West Humber-Clairville (1),2
2014.0,April,D23,House,Willowridge-Martingrove-Richview (7),1
2014.0,April,D23,Outside,Elms-Old Rexdale (5),1
2014.0,April,D23,Outside,Kingsview Village-The Westway (6),8
2014.0,April,D23,Outside,Mount Olive-Silverstone-Jamestown (2),4
2014.0,April,D23,Outside,Rexdale-Kipling (4),2
2014.0,April,D23,Outside,West Humber-Clairville (1),19
2014.0,April,D23,Outside,Willowridge-Martingrove-Richview (7),1
2014.0,April,D23,Transit,West Humber-Clairville (1),1
2014.0,April,D31,Commercial,Oakdale-Beverley Heights (154),1
2014.0,April,D31,House,Downsview (155),1
2014.0,April,D31,House,Glenfield-Jane Heights (25),1
2014.0,April,D31,House,Humber Summit (21),1
2014.0,April,D31,House,Humbermede (22),1
2014.0,April,D31,House,Oakdale-Beverley Heights (154),2
2014.0,April,D31,Other,Humbermede (22),1
2014.0,April,D31,Outside,Black Creek (24),3
2014.0,April,D31,Outside,Glenfield-Jane Heights (25),1
2014.0,April,D31,Outside,Humber Summit (21),5
2014.0,April,D31,Outside,Humbermede (22),1
2014.0,April,D31,Outside,Oakdale-Beverley Heights (154),3
2014.0,April,D31,Outside,York University Heights (27),3
2014.0,April,D32,Apartment,Englemount-Lawrence (32),1
2014.0,April,D32,Commercial,Newtonbrook West (36),1
2014.0,April,D32,Commercial,Yorkdale-Glen Park (31),1
2014.0,April,D32,House,Bathurst Manor (34),2
2014.0,April,D32,House,Bedford Park-Nortown (39),2
2014.0,April,D32,House,Clanton Park (33),2
2014.0,April,D32,House,Englemount-Lawrence (32),1
2014.0,April,D32,House,Lansing-Westgate (38),1
2014.0,April,D32,House,Lawrence Park North (105),2
2014.0,April,D32,House,Newtonbrook East (50),1
2014.0,April,D32,House,Newtonbrook West (36),1
2014.0,April,D32,Outside,Avondale (153),1
2014.0,April,D32,Outside,Bathurst Manor (34),1
2014.0,April,D32,Outside,Clanton Park (33),3
2014.0,April,D32,Outside,Downsview (155),1
2014.0,April,D32,Outside,Englemount-Lawrence (32),1
2014.0,April,D32,Outside,Lansing-Westgate (38),1
2014.0,April,D32,Outside,Newtonbrook West (36),1
2014.0,April,D32,Outside,St.Andrew-Windfields (40),1
2014.0,April,D32,Outside,Westminster-Branson (35),3
2014.0,April,D32,Outside,York University Heights (27),5
2014.0,April,D32,Outside,Yorkdale-Glen Park (31),3
2014.0,April,D32,Transit,Clanton Park (33),2
2014.0,April,D32,Transit,Newtonbrook West (36),1
2014.0,April,D33,House,Banbury-Don Mills (42),1
2014.0,April,D33,House,Fenside-Parkwoods (150),3
2014.0,April,D33,Outside,Banbury-Don Mills (42),1
2014.0,April,D33,Outside,Bayview Village (52),1
2014.0,April,D33,Outside,Bayview Woods-Steeles (49),1
2014.0,April,D33,Outside,Henry Farm (53),2
2014.0,April,D33,Outside,St.Andrew-Windfields (40),1
2014.0,April,D33,Transit,Bayview Village (52),1
2014.0,April,D41,Commercial,Eglinton East (138),1
2014.0,April,D41,Commercial,Wexford/Maryvale (119),1
2014.0,April,D41,House,Birchcliffe-Cliffside (122),1
2014.0,April,D41,House,Cliffcrest (123),1
2014.0,April,D41,House,Dorset Park (126),1
2014.0,April,D41,Outside,Birchcliffe-Cliffside (122),1
2014.0,April,D41,Outside,Dorset Park (126),2
2014.0,April,D41,Outside,Ionview (125),2
2014.0,April,D41,Outside,Kennedy Park (124),2
2014.0,April,D41,Outside,Oakridge (121),3
2014.0,April,D41,Outside,Wexford/Maryvale (119),2
2014.0,April,D42,Commercial,Agincourt South-Malvern West (128),1
2014.0,April,D42,House,East L'Amoreaux (148),1
2014.0,April,D42,House,L'Amoreaux West (147),1
2014.0,April,D42,House,Malvern East (146),1
2014.0,April,D42,House,Milliken (130),2
2014.0,April,D42,House,Morningside Heights (144),3
2014.0,April,D42,House,Steeles (116),2
2014.0,April,D42,House,Tam O'Shanter-Sullivan (118),1
2014.0,April,D42,Outside,Agincourt North (129),1
2014.0,April,D42,Outside,Agincourt South-Malvern West (128),2
2014.0,April,D42,Outside,Malvern East (146),1
2014.0,April,D42,Outside,Malvern West (145),1
